ticker,industry,net_income,compount_rate_5y,compount_rate_7y,average_5y_roc,average_5y_roe,pe,dividend_yield,debtOnCapital,average_5y_compound_rate,average_7y_compound_rate
RAL,Hàng cá nhân & Gia dụng,"{'2023': 584, '2022': 486, '2021': 398, '2020': 336, '2019': 125, '2018': 204, '2017': 214, '2016': 147, '2015': 94, '2014': 66, '2013': 86, '2012': 74, '2011': 60, '2010': 37, '2009': 43, '2008': 49, '2007': 54, '2006': 46, '2005': 40, '2004': 0}","{'2023': 0.24531956100710137, '2022': 0.21299921691464369, '2021': 0.24463937621832357, '2020': 0.3086734693877551, '2019': 0.08137931034482758, '2018': 0.19439868204283361, '2017': 0.29978586723768735, '2016': 0.22894736842105262, '2015': 0.17647058823529413, '2014': 0.07666666666666666, '2013': 0.14068441064638784, '2012': 0.0823045267489712, '2011': 0.0611353711790393, '2010': -0.01293103448275862, '2009': 0.2275132275132275}","{'2023': 0.22879581151832462, '2022': 0.25823451910408435, '2021': 0.2799325463743676, '2020': 0.2670940170940171, '2019': 0.0576271186440678, '2018': 0.19433198380566802, '2017': 0.31382978723404253, '2016': 0.22608695652173913, '2015': 0.10843373493975904, '2014': 0.02977667493796526, '2013': 0.11019283746556474, '2012': 0.1033434650455927, '2011': 0.22304832713754646}",0.11606249999999999,0.23212499999999997,5.2,0.047,0.5,0.2186021867745302,0.22854939768208174
VPG,Tài nguyên Cơ bản,"{'2023': 19, '2022': 63, '2021': 421, '2020': 88, '2019': 55, '2018': 59, '2017': 30, '2016': 15, '2015': 5}","{'2023': -0.05830903790087463, '2022': 0.05053598774885146, '2021': 1.6437246963562753, '2020': 0.5060975609756098}","{'2023': 0.005471956224350205, '2022': 0.0861812778603269}",0.08843749999999999,0.21225,-79.6,,0.5833333333333334,0.5355123017949655,0.04582661704233855
GMD,Hàng & Dịch vụ Công nghiệp,"{'2023': 2534, '2022': 1161, '2021': 721, '2020': 440, '2019': 614, '2018': 1900, '2017': 581, '2016': 444, '2015': 461, '2014': 565, '2013': 204, '2012': 115, '2011': 15, '2010': 218, '2009': 334, '2008': 119, '2007': 217, '2006': 169, '2005': 148}","{'2023': 0.13110008271298593, '2022': 0.1362781954887218, '2021': 0.0696154812767027, '2020': -0.00525, '2019': 0.012401923563654771, '2018': 0.7521064301552106, '2017': 0.2604807154835103, '2016': 0.3154411764705882, '2015': 0.21754700089525514, '2014': 0.26072234762979685, '2013': 0.10611735330836454, '2012': -0.11295681063122924, '2011': -0.1456953642384106, '2010': 0.07092198581560284}","{'2023': 0.35659443780924754, '2022': 0.13563262933540013, '2021': 0.03116883116883117, '2020': 0.04948626546445796, '2019': 0.11686182669789227, '2018': 0.790356394129979, '2017': 0.1795252225519288, '2016': 0.05753138075313807, '2015': 0.2178343949044586, '2014': 0.28477905073649756, '2013': 0.02948609941027801, '2012': -0.027049180327868853}",0.08312499999999999,0.09974999999999999,10.1,,0.16666666666666669,0.06882913660841304,0.2370893724511053
FTS,Dịch vụ tài chính,"{'2023': 445, '2022': 318, '2021': 846, '2020': 171, '2019': 214, '2018': 490, '2017': 179, '2016': 147, '2015': 132}","{'2023': -0.022069641981363415, '2022': 0.0731578947368421, '2021': 0.582014987510408, '2020': 0.03356282271944923}","{'2023': 0.12600422832980973, '2022': 0.08536025699862322}",0.06697368421052631,0.12725,22.0,,0.4736842105263158,0.16666651574633398,0.10568224266421647
BSI,Dịch vụ tài chính,"{'2023': 408, '2022': 112, '2021': 357, '2020': 127, '2019': 113, '2018': 195, '2017': 175, '2016': 120, '2015': 101, '2014': 75, '2013': 15, '2012': 21, '2011': -208, '2010': 11, '2009': 436, '2008': -516, '2007': 114, '2006': 48}","{'2023': 0.23561946902654868, '2022': -0.06514994829369183, '2021': 0.32465753424657534, '2020': 0.036931818181818184, '2019': 0.057057057057057055, '2018': 0.37037037037037035, '2017': 0.463855421686747, '2016': 82.0, '2015': -1.0465116279069768, '2014': -1.3127272727272727, '2013': -2.07421875, '2012': 0.5705521472392638, '2011': -2.752688172043011}","{'2023': 0.24020016680567138, '2022': 0.009259259259259259, '2021': 0.31125827814569534, '2020': 0.14105793450881612, '2019': 0.13105413105413105, '2018': 1.3478260869565217, '2017': 1.2148148148148148, '2016': -0.7006651884700665, '2015': -3.716867469879518, '2014': 0.30708661417322836, '2013': 0.35106382978723405}",0.0612109375,0.0979375,23.2,,0.37499999999999994,0.11782318604366152,0.48506723879212993
HCM,Dịch vụ tài chính,"{'2023': 674, '2022': 852, '2021': 1147, '2020': 530, '2019': 433, '2018': 675, '2017': 554, '2016': 305, '2015': 213, '2014': 376, '2013': 282, '2012': 246, '2011': 194, '2010': 182, '2009': 278, '2008': 24, '2007': 132, '2006': 92}","{'2023': -0.00027495188342040145, '2022': 0.08924827792752321, '2021': 0.33720464557468965, '2020': 0.14541284403669724, '2019': 0.026848798869524258, '2018': 0.22716763005780347, '2017': 0.21659634317862167, '2016': 0.08466819221967964, '2015': 0.02421875, '2014': 0.0829103214890017, '2013': 0.2792207792207792, '2012': 0.14074074074074075, '2011': 0.1440677966101695}","{'2023': 0.08207295373665481, '2022': 0.16567280269639617, '2021': 0.24983797796500323, '2020': 0.08738548273431994, '2019': 0.07053941908713693, '2018': 0.2216589861751152, '2017': 0.20689655172413793, '2016': 0.015245623941276116, '2015': 0.11946902654867257, '2014': 0.18236173393124067, '2013': 0.16550522648083624}",0.059672619047619044,0.1253125,23.0,,0.5238095238095238,0.11968792290500278,0.1548663105883949
GEX,Hàng & Dịch vụ Công nghiệp,"{'2023': 864, '2022': 1532, '2021': 1666, '2020': 980, '2019': 852, '2018': 1283, '2017': 906, '2016': 579, '2015': 456}","{'2023': -0.06637098051639474, '2022': 0.11007561104272903, '2021': 0.23630434782608695, '2020': 0.12855740922473013}","{'2023': 0.03654783277763529, '2022': 0.16007140731925024}",0.052960526315789465,0.10062499999999999,32.7,,0.4736842105263158,0.10214159689428784,0.09830962004844276
MSN,Thực phẩm và đồ uống,"{'2023': 1870, '2022': 4754, '2021': 10101, '2020': 1395, '2019': 6365, '2018': 5622, '2017': 3608, '2016': 3772, '2015': 2527, '2014': 2037, '2013': 1307, '2012': 1963, '2011': 2496, '2010': 2629, '2009': 680, '2008': 400, '2007': 0, '2006': 0}","{'2023': -0.13287530545029572, '2022': 0.042301871470229964, '2021': 0.3048357576341393, '2020': -0.05170366310404677, '2019': 0.24638506205169078, '2018': 0.3256358010716172, '2017': 0.14173703256936068, '2016': 0.12352371732817037, '2015': -0.009777607361963191, '2014': 0.14953168044077134, '2013': 0.11104309500489716, '2012': 0.3163577759871072, '2011': 0.6729576705311404}","{'2023': -0.05340146559227335, '2022': 0.06669661575321953, '2021': 0.31840796019900497, '2020': 0.0034868056105872096, '2019': 0.2112689575734306, '2018': 0.17651044607566346, '2017': 0.05851413543721236, '2016': 0.22670283745142605, '2015': 0.18476372480889505, '2014': 0.2149868073878628, '2013': 0.1600146914789422}",0.04997767857142856,0.1399375,312.0,,0.6428571428571429,0.0817887445203435,0.11164049357954926
VIC,Bất động sản,"{'2023': 2056, '2022': 2044, '2021': -7558, '2020': 4546, '2019': 7717, '2018': 6238, '2017': 5655, '2016': 4458, '2015': 1501, '2014': 3776, '2013': 7149, '2012': 1847, '2011': 1074, '2010': 2432, '2009': 1102, '2008': 126, '2007': 269, '2006': 0, '2005': 0}","{'2023': -0.322014322014322, '2022': -0.2175563320882034, '2021': -0.41993429789613473, '2020': 0.11908952246861433, '2019': 0.18221749583872757, '2018': -0.040418829584276145, '2017': 0.20329934333457905, '2016': 0.22049912034925392, '2015': -0.057193758446983656, '2014': 0.1965598353425463, '2013': 1.0671630451299194, '2012': 0.3154107535478713, '2011': 0.2733519979638585, '2010': 1.6245824983299932}","{'2023': -0.10398268398268398, '2022': 0.024072350046548743, '2021': -0.33442506860228377, '2020': -0.07132679344549789, '2019': 0.19167972831765936, '2018': 0.202827965435978, '2017': 0.14493861582047937, '2016': 0.17774482283777343, '2015': 0.07854449902890437, '2014': 0.2505178941352954, '2013': 1.0436496350364963, '2012': 0.36917849290425747}",0.03265625,0.078375,19.0,,0.5833333333333334,-0.13163958673826362,0.007683444798599971
CTS,Dịch vụ tài chính,"{'2023': 187, '2022': 71, '2021': 387, '2020': 128, '2019': 115, '2018': 151, '2017': 110, '2016': 83, '2015': 77, '2014': 66, '2013': 65, '2012': 73, '2011': 64, '2010': 22, '2009': 103, '2008': 13, '2007': 98}","{'2023': 0.04225352112676056, '2022': -0.04377104377104377, '2021': 0.5178875638841567, '2020': 0.09514925373134328, '2019': 0.10061601642710473, '2018': 0.2144638403990025, '2017': 0.10164835164835165, '2016': 0.05507246376811594, '2015': 0.1896551724137931, '2014': -0.11314984709480122, '2013': 0.1890909090909091, '2012': -0.08333333333333333}","{'2023': 0.09952153110047847, '2022': -0.005708848715509039, '2021': 0.4397260273972603, '2020': 0.0944527736131934, '2019': 0.0672, '2018': 0.16171003717472118, '2017': 0.19555555555555557, '2016': -0.0425531914893617, '2015': 0.15763546798029557, '2014': -0.0730593607305936}",0.025594512195121936,0.10493749999999999,19.1,,0.7560975609756099,0.1424270622796643,0.1503510108751
ACB,Ngân hàng,"{'2023': 16045, '2022': 13688, '2021': 9603, '2020': 7683, '2019': 6010, '2018': 5137, '2017': 2118, '2016': 1325, '2015': 1028, '2014': 952, '2013': 826, '2012': 784, '2011': 3208, '2010': 2335, '2009': 2201, '2008': 2211, '2007': 1760, '2006': 506, '2005': 299, '2004': 214, '2003': 132, '2002': 123}","{'2023': 0.25896821063127656, '2022': 0.3787110078229845, '2021': 0.3716607551744264, '2020': 0.4261108976821616, '2019': 0.47897727272727275, '2018': 0.6898703792606817, '2017': 0.2714140386571719, '2016': -0.2769932333039129, '2015': -0.16125848241826032, '2014': -0.13352576437887534, '2013': -0.12896917776329267, '2012': -0.0833119931711481, '2011': 0.2997891933873294, '2010': 0.2918159667478859, '2009': 0.3981963927855711, '2008': 0.7141875644108554, '2007': 1.2849293563579278}","{'2023': 0.3230620665437626, '2022': 0.3847556528081692, '2021': 0.3566981404362347, '2020': 0.39417107381007127, '2019': 0.42941659819227607, '2018': 0.18836051166878234, '2017': -0.020749665327978582, '2016': -0.07728957120169402, '2015': -0.09451146440840456, '2014': -0.060637898686679174, '2013': 0.024605920799692427, '2012': 0.03873801916932907, '2011': 0.31429771152634894, '2010': 0.3008329919431927, '2009': 0.396186844613918}",-1.0,0.2456875,6.6,,-1.0,0.3828856288076244,0.2936734825901883
TCB,Ngân hàng,"{'2023': 18191, '2022': 20436, '2021': 18415, '2020': 12582, '2019': 10226, '2018': 8474, '2017': 6446, '2016': 3149, '2015': 1529, '2014': 1082, '2013': 659, '2012': 766, '2011': 3154, '2010': 2073, '2009': 1700, '2008': 1183, '2007': 510, '2006': 257, '2005': 206, '2004': 77, '2003': 30, '2002': 5}","{'2023': 0.13855103874067842, '2022': 0.24918511657731152, '2021': 0.3734618489615187, '2020': 0.3706075643776824, '2019': 0.44216634429400387, '2018': 0.607462106490478, '2017': 0.7905358385525401, '2016': -0.0006954102920723226, '2015': -0.07033876389966383, '2014': -0.07399425287356322, '2013': -0.05903560162235241, '2012': 0.029698375870069606, '2011': 0.5062030403634458, '2010': 0.4841804979253112, '2009': 0.7268248992386923, '2008': 1.0675925925925926, '2007': 0.8782608695652174}","{'2023': 0.18866646598434678, '2022': 0.31086302428437546, '2021': 0.3985697203826343, '2020': 0.37772849675273246, '2019': 0.4279574756842343, '2018': 0.31694965743223114, '2017': 0.35232033515952305, '2016': 0.13217185077077442, '2015': 0.032589243665818966, '2014': 0.0569437531110005, '2013': 0.041688271284869856, '2012': 0.0616536386656391, '2011': 0.5123210123210123, '2010': 0.5155185465556397, '2009': 0.7473544973544973}",-1.0,0.18293749999999998,8.3,,-1.0,0.31479438259023895,0.33900788224001105
