Date,Value
05-Sep-22,"VND 12,960,950,283"
06-Oct-22,"VND 12,196,182,389"
08-Jan-23,"VND 12,205,412,393"
22-Jan-23,"VND 12,496,316,858"
15-May-23,"VND 12,074,810,979"
29-May-23,"VND 11,812,831,668"
02-Jun-23,"VND 12,478,024,363"
08-Jun-23,"VND 12,952,743,340"
21-Jun-23,"VND 13,411,960,933"
23-Jun-23,"VND 13,607,707,678"
27-Jun-23,"VND 13,724,041,209"
29-Jun-23,"VND 13,776,277,450"
10-Jul-23,"VND 13,665,846,110"
18-Jul-23,"VND 14,077,493,686"
26-Jul-23,"VND 14,586,059,455"
